xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1052728,Muscicapa striata,Spotted Flycatcher,MILLON Xavier,France,2025-09-21,00:12,7,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1052728,https://xeno-canto.org/1052728/download,
1052298,Muscicapa striata,Spotted Flycatcher,MILLON Xavier,France,2025-08-28,03:51,6,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1052298,https://xeno-canto.org/1052298/download,
1050975,Muscicapa striata,Spotted Flycatcher,MILLON Xavier,France,2025-08-28,05:54,8,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1050975,https://xeno-canto.org/1050975/download,
1047376,Muscicapa striata,Spotted Flycatcher,Vandousselaere Patrick,Belgium,2025-10-12,03:07,3,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1047376,https://xeno-canto.org/1047376/download,
1046208,Muscicapa striata,Spotted Flycatcher,Jorge Leitão,Portugal,2025-10-07,08:12,35,A,call,field recording,yes,"[""Erithacus rubecula"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/1046208,https://xeno-canto.org/1046208/download,
1043591,Muscicapa striata,Spotted Flycatcher,Jorge Leitão,Portugal,2025-09-28,14:04,13,A,call,field recording,yes,[],44100,https://xeno-canto.org/1043591,https://xeno-canto.org/1043591/download,
1041339,Muscicapa striata,Spotted Flycatcher,Sonothèque ADVL,France,2025-05-30,09:00,29,A,call,field recording,yes,[],48000,https://xeno-canto.org/1041339,https://xeno-canto.org/1041339/download,
1039918,Muscicapa striata,Spotted Flycatcher,Théo Treels,France,2025-09-16,02:30,3,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1039918,https://xeno-canto.org/1039918/download,
1038340,Muscicapa striata,Spotted Flycatcher,João Tomás,Spain,2025-09-11,7:30,47,A,"alarm call, call",field recording,yes,"[""Sylvia atricapilla"", ""Turdus merula"", ""Troglodytes troglodytes"", ""Galerida cristata"", ""Ficedula hypoleuca""]",44100,https://xeno-canto.org/1038340,https://xeno-canto.org/1038340/download,
1038294,Muscicapa striata,Spotted Flycatcher,Philippe_Grange,France,2025-09-11,01:00,2,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1038294,https://xeno-canto.org/1038294/download,
1036086,Muscicapa striata,Spotted Flycatcher,Théo Treels,France,2025-09-05,02:00,29,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1036086,https://xeno-canto.org/1036086/download,
1036076,Muscicapa striata,Spotted Flycatcher,Théo Treels,France,2025-09-04,03:30,3,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1036076,https://xeno-canto.org/1036076/download,
1035846,Muscicapa striata,Spotted Flycatcher,Paul Coiffard,France,2025-08-11,03:24,4,A,nocturnal flight call,field recording,no,[],32000,https://xeno-canto.org/1035846,https://xeno-canto.org/1035846/download,
1034272,Muscicapa striata,Spotted Flycatcher,Lars Mogensen,Denmark,2025-08-31,04:00,5,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1034272,https://xeno-canto.org/1034272/download,
1034256,Muscicapa striata,Spotted Flycatcher,Thierry THOMAS,France,2025-08-31,03:11,10,A,"call, flight call, nocturnal flight call",field recording,no,"[""Anthus trivialis""]",44100,https://xeno-canto.org/1034256,https://xeno-canto.org/1034256/download,
1031244,Muscicapa striata,Spotted Flycatcher,João Tomás,Spain,2025-08-17,20:08,16,A,"alarm call, call",field recording,yes,"[""Sylvia atricapilla"", ""Luscinia megarhynchos"", ""Cettia cetti""]",44100,https://xeno-canto.org/1031244,https://xeno-canto.org/1031244/download,
1030388,Muscicapa striata,Spotted Flycatcher,Chacron Eric,France,2025-08-18,02:30,3,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1030388,https://xeno-canto.org/1030388/download,
1028998,Muscicapa striata,Spotted Flycatcher,Rozenn Le Fur,France,2025-08-13,02:07,2,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1028998,https://xeno-canto.org/1028998/download,
1027523,Muscicapa striata,Spotted Flycatcher,Miika Silfverberg,Finland,2023-07-27,09:47,37,A,alarm call,field recording,yes,"[""Sterna hirundo""]",48000,https://xeno-canto.org/1027523,https://xeno-canto.org/1027523/download,
1027090,Muscicapa striata,Spotted Flycatcher,TitouB,France,2025-08-07,03:06,4,A,nocturnal flight call,field recording,no,[],48000,https://xeno-canto.org/1027090,https://xeno-canto.org/1027090/download,
1025660,Muscicapa striata,Spotted Flycatcher,Grzegorz Lorek,Poland,2024-08-04,13:35,4,A,"call, pecking at wood",field recording,yes,"[""Oriolus oriolus""]",44100,https://xeno-canto.org/1025660,https://xeno-canto.org/1025660/download,
1025659,Muscicapa striata,Spotted Flycatcher,Grzegorz Lorek,Poland,2024-08-04,13:39,46,A,"call, pecking at wood",field recording,yes,"[""Oriolus oriolus""]",48000,https://xeno-canto.org/1025659,https://xeno-canto.org/1025659/download,
1023920,Muscicapa striata,Spotted Flycatcher,Gonzalo Peña Sánchez,Spain,2025-07-28,13:15,20,A,call,field recording,yes,[],44100,https://xeno-canto.org/1023920,https://xeno-canto.org/1023920/download,
1018825,Muscicapa striata,Spotted Flycatcher,Théo Treels,France,2025-07-23,03:30,2,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/1018825,https://xeno-canto.org/1018825/download,
1017777,Muscicapa striata,Spotted Flycatcher,Vincent Pourchaire,France,2025-07-20,07:30,18,A,call,field recording,unknown,[],48000,https://xeno-canto.org/1017777,https://xeno-canto.org/1017777/download,
1017776,Muscicapa striata,Spotted Flycatcher,Vincent Pourchaire,France,2025-07-20,07:30,34,A,call,field recording,unknown,[],48000,https://xeno-canto.org/1017776,https://xeno-canto.org/1017776/download,
1017775,Muscicapa striata,Spotted Flycatcher,Vincent Pourchaire,France,2025-07-20,07:30,45,A,call,field recording,unknown,[],48000,https://xeno-canto.org/1017775,https://xeno-canto.org/1017775/download,
